"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_label","deathDate","deathPlace_label","citizenship_label","nationality_label","stateOfOrigin_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label","nobel_prize","corrected_nationality"
"Robert Heinrich Herman Koch","Robert Koch","Nobel Prize in Physiology or Medicine","1843-12-11","1843-01-01T00:00:00+02:00","{Kingdom of Hanover|Clausthal-Zellerfeld}","1910-05-27","{Baden-Baden|Grand Duchy of Baden}","NULL","Germany","NULL","University of Göttingen","Microbiology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanBiologists|GermanInventors|GermanMicrobiologists|GermanNobelLaureates|GermanPhysicians|Acquirer109764201|Adult109605289|Biologist109855630|CausalAgent100007347|Creator109614315|Doctor110020890|HealthProfessional110165109|Honoree110183757|Inventor110214637|Laureate110249011|LivingThing100004258|Microbiologist110313580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromGoslar(district)|PeopleFromTheKingdomOfHanover|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Bertha von Suttner","Nobel Peace Prize","1843-06-09","1843-01-01T00:00:00+02:00","{Prague|Austrian Empire}","1914-06-21","{Austria-Hungary|Vienna}","NULL","NULL","NULL","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|WomenNobelLaureates|19th-centuryAustrianPeople|19th-centuryCzechPeople|Acquirer109764201|Adult109605289|Agnostic109779124|AustrianAgnostics|AustrianJournalists|AustrianNobelLaureates|AustrianNovelists|AustrianPacifists|AustrianPeopleOfCzechDescent|Austro-HungarianNobelLaureates|Austro-HungarianWriters|CausalAgent100007347|Communicator109610660|Honoree110183757|Journalist110224578|Laureate110249011|LivingThing100004258|Novelist110363573|Object100002684|Organism100004475|Pacifist110390199|Person100007846|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|CzechJournalists|CzechNobelLaureates|CzechNovelists|CzechPacifists|PhysicalEntity100001930|NobelPeacePrizeLaureates|PeopleFromPrague|YagoLegalActor}","Nobel Peace Prize","NULL"
"NULL","Camillo Golgi","Nobel Prize in Physiology or Medicine","1843-07-07","1843-01-01T00:00:00+02:00","{Italy|Corteno|Corteno Golgi|Austrian Empire|Kingdom of Lombardy–Venetia}","1926-01-21","{Kingdom of Italy|Pavia}","{Kingdom of Italy|Austrian Empire}","Italy","NULL","NULL","Neuroscience","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|ItalianAnatomists|ItalianNeuroscientists|ItalianNobelLaureates|ItalianPathologists|Lawgiver110249270|Acquirer109764201|Adult109605289|Anatomist109792237|Biologist109855630|CausalAgent100007347|Diagnostician110011074|Doctor110020890|Expert109617867|HealthProfessional110165109|Honoree110183757|Laureate110249011|Leader109623038|Legislator110253995|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Politician110451263|Professional110480253|Recipient109627906|Scientist110560637|Senator110578471|Specialist110632576|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|SenatorsOfTheKingdomOfItaly|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|Pathologists|PeopleFromPavia|PeopleFromTheProvinceOfBrescia|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"Jonas Ferdinand Gabriel Lippmann","Gabriel Lippmann","Nobel Prize in Physics","1845-08-16","1845-01-01T00:00:00+02:00","{Luxembourg|Hollerich|Bonnevoie}","1921-07-13","SS France (1910)","NULL","NULL","NULL","École Normale Supérieure","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishInventors|JewishScientists|LuxembourgianInventors|LuxembourgianNobelLaureates|LuxembourgianPeopleOfFrenchDescent|Lyc%C3%A9eHenri-IVAlumni|Acquirer109764201|AlumniOfThe%C3%89coleNormaleSup%C3%A9rieure|Alumnus109786338|CausalAgent100007347|Creator109614315|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColorScientists|ExperimentalPhysicists|FrenchNobelLaureates|FrenchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromLuxembourg(city)|PeopleWhoDiedAtSea|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Charles Louis Alphonse Laveran","Nobel Prize in Physiology or Medicine","1845-06-18","1845-01-01T00:00:00+02:00","{Paris|France}","1922-05-18","{Paris|France}","NULL","France","NULL","University of Strasbourg","{Parasitology|Tropical medicine}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|wgs84_pos#SpatialThing|Scientist|Acquirer109764201|Adult109605289|CausalAgent100007347|Doctor110020890|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FrenchNobelLaureates|FrenchPhysicians|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Élie Metchnikoff","Nobel Prize in Physiology or Medicine","1845-05-16","1845-01-01T00:00:00+02:00","{Kharkiv Oblast|Ukraine|Russian Empire|Kharkov Governorate|Kupiansk Raion}","1916-07-15","{Paris|France}","NULL","Russian Federation","NULL","NULL","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Immunologists|JewishScientists|UkrainianPeopleOfRomanianDescent|Acquirer109764201|AlumniOfKharkivUniversity|Alumnus109786338|CausalAgent100007347|Creator109614315|Honoree110183757|Immunologist110199902|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|MedicalScientist110306004|PhysicalEntity100001930|RussianInventors|RussianNobelLaureates|RussianPeopleOfUkrainianDescent|RussianScientists|NobelLaureatesInPhysiologyOrMedicine|PeopleFromKharkivOblast|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Otto Wallach","Nobel Prize in Chemistry","1847-03-27","1847-01-01T00:00:00+02:00","{Kingdom of Prussia|Königsberg}","1931-02-26","{Göttingen|Weimar Republic}","NULL","Germany","NULL","University of Göttingen","Organic chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|GermanPeopleOfJewishDescent|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromK%C3%B6nigsberg|PeopleFromTheProvinceOfPrussia|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Ivan Pavlov","Nobel Prize in Physiology or Medicine","{1849-09-14|1849-09-26}","1849-01-01T00:00:00+02:00","{Ryazan|Russian Empire}","1936-02-27","{Soviet Union|Saint Petersburg}","NULL","Russian Federation","NULL","Saint Petersburg State University","{Physician|Physiology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Acquirer109764201|Alumnus109786338|AnimalTrainer110159045|AnimalTrainers|Atheist109820044|Biologist109855630|CausalAgent100007347|Disbeliever110015897|Educationist110045454|Expert109617867|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|NonreligiousPerson109625789|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Specialist110631941|Trainer110722575|Whole100003553|YagoLegalActorGeo|Zoologist110806222|Ethologist110065911|Ethologists|PhysicalEntity100001930|RussianAtheists|RussianEducationists|RussianNobelLaureates|RussianScientists|SaintPetersburgStateUniversityAlumni|SovietScientists|NobelLaureatesInPhysiologyOrMedicine|PeopleFromRyazan|PeopleFromSaintPetersburg|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Charles Richet","Nobel Prize in Physiology or Medicine","1850-08-25","1850-01-01T00:00:00+02:00","Paris","{1850-08-25|1935-12-04}","Paris","NULL","NULL","NULL","NULL","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Biologist109855630|CausalAgent100007347|Communicator109610660|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Occultist110370381|Organism100004475|Person100007846|Physiologist110429965|Psychologist110488865|Recipient109627906|Scientist110560637|Whole100003553|Writer110794014|YagoLegalActorGeo|FrenchNobelLaureates|FrenchOccultists|FrenchPhysiologists|FrenchWritersOnParanormalTopics|Parapsychologist110398806|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|Parapsychologists|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Karl Ferdinand Braun","Nobel Prize in Physics","1850-06-06","1850-01-01T00:00:00+02:00","{Electorate of Hesse|Fulda|German Confederation}","1918-04-20","Brooklyn","NULL","Germany","NULL","{Humboldt University of Berlin|University of Marburg}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanInventors|GermanNobelLaureates|GermanPhysicists|Acquirer109764201|CausalAgent100007347|Creator109614315|Honoree110183757|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|ExperimentalPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromFulda|PeopleFromTheElectorateOfHesse|YagoLegalActor}","Nobel Prize in Physics","NULL"
