"name","nationality_label","prize","lat","lon"
"Robert Koch","Germany","Nobel Prize in Physiology or Medicine","51","9"
"Camillo Golgi","Italy","Nobel Prize in Physiology or Medicine","42.83333333","12.83333333"
"Charles Louis Alphonse Laveran","France","Nobel Prize in Physiology or Medicine","46","2"
"Otto Wallach","Germany","Nobel Prize in Chemistry","51","9"
"Karl Ferdinand Braun","Germany","Nobel Prize in Physics","51","9"
"Henri Moissan","France","{Davy Medal|Nobel Prize in Chemistry|Elliott Cresson Medal}","46","2"
"Santiago Ramón y Cajal","Spain","Nobel Prize in Physiology or Medicine","40","-4"
"Wilhelm Ostwald","Germany","Nobel Prize in Chemistry","51","9"
"Emil Adolf von Behring","Germany","Nobel Prize in Physiology or Medicine","51","9"
"Paul Sabatier (chemist)","France","{Franklin Medal|Nobel Prize in Chemistry}","46","2"
"Ronald Ross","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Charles Scott Sherrington","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Christiaan Eijkman","Netherlands","Nobel Prize in Physiology or Medicine","52.5","5.75"
"Pierre Curie","France","Nobel Prize in Physics","46","2"
"Eduard Buchner","Germany","Nobel Prize in Chemistry","51","9"
"Willem Einthoven","Netherlands","Nobel Prize in Physiology or Medicine","52.5","5.75"
"Frederick Gowland Hopkins","United Kingdom","{Order of Merit|Nobel Prize in Physiology or Medicine|Copley Medal|Royal Medal}","54","-2"
"Charles Édouard Guillaume","Switzerland","{Nobel Prize in Physics|Franklin Institute}","47","8"
"Philipp Lenard","Germany","Nobel Prize in Physics","51","9"
"Allvar Gullstrand","Sweden","Nobel Prize in Physiology or Medicine","62","15"
"Thomas Hunt Morgan","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Alfred Werner","Switzerland","Nobel Prize in Chemistry","47","8"
"Charles Nicolle","France","Nobel Prize in Physiology or Medicine","46","2"
"Johannes Fibiger","Denmark","Nobel Prize in Physiology or Medicine","56","10"
"Theodore William Richards","United States","Nobel Prize in Chemistry","38","-97"
"Robert Andrews Millikan","United States","{Franklin Medal|Nobel Prize in Physics|Comstock Prize in Physics}","38","-97"
"Karl Landsteiner","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Gustaf Dalén","Sweden","Nobel Prize in Physics","62","15"
"Hans Spemann","Germany","Nobel Prize in Physiology or Medicine","51","9"
"Jean Baptiste Perrin","France","Nobel Prize in Physics","46","2"
"Victor Grignard","France","Nobel Prize in Chemistry","46","2"
"Richard Willstätter","Germany","{Royal Society|Nobel Prize in Chemistry|Willard Gibbs Award}","51","9"
"Hans von Euler-Chelpin","Sweden","Nobel Prize in Chemistry","62","15"
"Otto Loewi","Germany","{Royal Society|Nobel Prize in Physiology or Medicine}","51","9"
"Johannes Stark","Germany","Nobel Prize in Physics","51","9"
"August Krogh","Denmark","Nobel Prize in Physiology or Medicine","56","10"
"Henry Hallett Dale","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Róbert Bárány","Austria","Nobel Prize in Physiology or Medicine","47.33333333","13.33333333"
"Adolf Otto Reinhold Windaus","Germany","Nobel Prize in Chemistry","51","9"
"Frederick Soddy","United Kingdom","{Royal Society|Soddy (crater)|Nobel Prize in Chemistry}","54","-2"
"Heinrich Otto Wieland","Germany","{Royal Society|Nobel Prize in Chemistry}","51","9"
"Francis William Aston","United Kingdom","Nobel Prize in Chemistry","54","-2"
"Charles Glover Barkla","United Kingdom","{Hughes Medal|Nobel Prize in Physics}","54","-2"
"George Whipple","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Francis Peyton Rous","United States","Nobel Prize in Physiology or Medicine","38","-97"
"John Boyd Orr 1st Baron Boyd-Orr","United Kingdom","{Royal Society|Nobel Peace Prize}","54","-2"
"Hans Fischer","Germany","Nobel Prize in Chemistry","51","9"
"Walter Rudolf Hess","Switzerland","Nobel Prize in Physiology or Medicine","47","8"
"Percy Williams Bridgman","United States","{Royal Society|Rumford Prize|Nobel Prize in Physics|Elliott Cresson Medal}","38","-97"
"James Franck","Germany","Nobel Prize in Physics","51","9"
"Otto Heinrich Warburg","Germany","{Pour le Mérite|Royal Society|Nobel Prize in Physiology or Medicine|Iron Cross}","51","9"
"Victor Francis Hess","Austria","Nobel Prize in Physics","47.33333333","13.33333333"
"Norman Haworth","United Kingdom","Nobel Prize in Chemistry","54","-2"
"Theodor Svedberg","Sweden","{Royal Society|Franklin Medal|Nobel Prize in Chemistry}","62","15"
"Friedrich Bergius","Germany","Nobel Prize in Chemistry","51","9"
"George Minot","United States","Nobel Prize in Physiology or Medicine","38","-97"
"George de Hevesy","Hungary","{Royal Society|Nobel Prize in Chemistry}","47","20"
"Manne Siegbahn","Sweden","Nobel Prize in Physics","62","15"
"Robert Robinson (organic chemist)","United Kingdom","{Franklin Medal|Nobel Prize in Chemistry}","54","-2"
