"name","capital","demonym","lat","lon"
"Aruba","Oranjestad","Aruban",12.5,-69.96666666
"Islamic Republic of Afghanistan","Kabul","Afghan",33,65
"Republic of Angola","Luanda","Angolan",-12.5,18.5
"Anguilla","The Valley","Anguillian",18.25,-63.16666666
"Åland Islands","Mariehamn","Ålandish",60.116667,19.9
"Republic of Albania","Tirana","Albanian",41,20
"Principality of Andorra","Andorra la Vella","Andorran",42.5,1.5
"United Arab Emirates","Abu Dhabi","Emirati",24,54
"Argentine Republic","Buenos Aires","Argentine",-34,-64
"Republic of Armenia","Yerevan","Armenian",40,45
"American Samoa","Pago Pago","American Samoan",-14.33333333,-170
"Antarctica","","Antarctican",-90,0
"Territory of the French Southern and Antarctic Lands","Port-aux-Français","French",-49.25,69.167
"Antigua and Barbuda","Saint John's","Antiguan, Barbudan",17.05,-61.8
"Commonwealth of Australia","Canberra","Australian",-27,133
"Republic of Austria","Vienna","Austrian",47.33333333,13.33333333
"Republic of Azerbaijan","Baku","Azerbaijani",40.5,47.5
"Republic of Burundi","Bujumbura","Burundian",-3.5,30
"Kingdom of Belgium","Brussels","Belgian",50.83333333,4
"Republic of Benin","Porto-Novo","Beninese",9.5,2.25
"Burkina Faso","Ouagadougou","Burkinabe",13,-2
"People's Republic of Bangladesh","Dhaka","Bangladeshi",24,90
"Republic of Bulgaria","Sofia","Bulgarian",43,25
"Kingdom of Bahrain","Manama","Bahraini",26,50.55
"Commonwealth of the Bahamas","Nassau","Bahamian",24.25,-76
"Bosnia and Herzegovina","Sarajevo","Bosnian, Herzegovinian",44,18
"Collectivity of Saint Barthélemy","Gustavia","Saint Barthélemy Islander",18.5,-63.41666666
"Republic of Belarus","Minsk","Belarusian",53,28
"Belize","Belmopan","Belizean",17.25,-88.75
"Bermuda","Hamilton","Bermudian",32.33333333,-64.75
"Plurinational State of Bolivia","Sucre","Bolivian",-17,-65
"Federative Republic of Brazil","Brasília","Brazilian",-10,-55
"Barbados","Bridgetown","Barbadian",13.16666666,-59.53333333
"Nation of Brunei, Abode of Peace","Bandar Seri Begawan","Bruneian",4.5,114.66666666
"Kingdom of Bhutan","Thimphu","Bhutanese",27.5,90.5
"Bouvet Island","","",-54.43333333,3.4
"Republic of Botswana","Gaborone","Motswana",-22,24
"Central African Republic","Bangui","Central African",7,21
"Canada","Ottawa","Canadian",60,-95
"Territory of the Cocos (Keeling) Islands","West Island","Cocos Islander",-12.5,96.83333333
"Swiss Confederation","Bern","Swiss",47,8
"Republic of Chile","Santiago","Chilean",-30,-71
"People's Republic of China","Beijing","Chinese",35,105
"Republic of Côte d'Ivoire","Yamoussoukro","Ivorian",8,-5
"Republic of Cameroon","Yaoundé","Cameroonian",6,12
"Democratic Republic of the Congo","Kinshasa","Congolese",0,25
"Republic of the Congo","Brazzaville","Congolese",-1,15
"Cook Islands","Avarua","Cook Islander",-21.23333333,-159.76666666
"Republic of Colombia","Bogotá","Colombian",4,-72
"Union of the Comoros","Moroni","Comoran",-12.16666666,44.25
"Republic of Cabo Verde","Praia","Cape Verdian",16,-24
"Republic of Costa Rica","San José","Costa Rican",10,-84
"Republic of Cuba","Havana","Cuban",21.5,-80
"Country of Curaçao","Willemstad","Dutch",12.116667,-68.933333
"Territory of Christmas Island","Flying Fish Cove","Christmas Islander",-10.5,105.66666666
"Cayman Islands","George Town","Caymanian",19.5,-80.5
"Republic of Cyprus","Nicosia","Cypriot",35,33
"Czech Republic","Prague","Czech",49.75,15.5
"Federal Republic of Germany","Berlin","German",51,9
"Republic of Djibouti","Djibouti","Djibouti",11.5,43
"Commonwealth of Dominica","Roseau","Dominican",15.41666666,-61.33333333
"Kingdom of Denmark","Copenhagen","Danish",56,10
"Dominican Republic","Santo Domingo","Dominican",19,-70.66666666
"People's Democratic Republic of Algeria","Algiers","Algerian",28,3
"Republic of Ecuador","Quito","Ecuadorean",-2,-77.5
"Arab Republic of Egypt","Cairo","Egyptian",27,30
"State of Eritrea","Asmara","Eritrean",15,39
"Sahrawi Arab Democratic Republic","El Aaiún","Sahrawi",24.5,-13
"Kingdom of Spain","Madrid","Spanish",40,-4
"Republic of Estonia","Tallinn","Estonian",59,26
"Federal Democratic Republic of Ethiopia","Addis Ababa","Ethiopian",8,38
"Republic of Finland","Helsinki","Finnish",64,26
"Republic of Fiji","Suva","Fijian",-18,175
"Falkland Islands","Stanley","Falkland Islander",-51.75,-59
"French Republic","Paris","French",46,2
"Faroe Islands","Tórshavn","Faroese",62,-7
"Federated States of Micronesia","Palikir","Micronesian",6.91666666,158.25
"Gabonese Republic","Libreville","Gabonese",-1,11.75
"United Kingdom of Great Britain and Northern Ireland","London","British",54,-2
"Georgia","Tbilisi","Georgian",42,43.5
"Bailiwick of Guernsey","St. Peter Port","Channel Islander",49.46666666,-2.58333333
"Republic of Ghana","Accra","Ghanaian",8,-2
"Gibraltar","Gibraltar","Gibraltar",36.13333333,-5.35
"Republic of Guinea","Conakry","Guinean",11,-10
"Guadeloupe","Basse-Terre","Guadeloupian",16.25,-61.583333
"Republic of the Gambia","Banjul","Gambian",13.46666666,-16.56666666
"Republic of Guinea-Bissau","Bissau","Guinea-Bissauan",12,-15
"Republic of Equatorial Guinea","Malabo","Equatorial Guinean",2,10
"Hellenic Republic","Athens","Greek",39,22
"Grenada","St. George's","Grenadian",12.11666666,-61.66666666
"Greenland","Nuuk","Greenlandic",72,-40
"Republic of Guatemala","Guatemala City","Guatemalan",15.5,-90.25
"Guiana","Cayenne","",4,-53
"Guam","Hagåtña","Guamanian",13.46666666,144.78333333
"Co-operative Republic of Guyana","Georgetown","Guyanese",5,-59
"Hong Kong Special Administrative Region of the People's Republic of China","City of Victoria","Hong Konger",22.267,114.188
"Heard Island and McDonald Islands","","Heard and McDonald Islander",-53.1,72.51666666
"Republic of Honduras","Tegucigalpa","Honduran",15,-86.5
"Republic of Croatia","Zagreb","Croatian",45.16666666,15.5
"Republic of Haiti","Port-au-Prince","Haitian",19,-72.41666666
"Hungary","Budapest","Hungarian",47,20
"Republic of Indonesia","Jakarta","Indonesian",-5,120
"Isle of Man","Douglas","Manx",54.25,-4.5
"Republic of India","New Delhi","Indian",20,77
"British Indian Ocean Territory","Diego Garcia","Indian",-6,71.5
"Republic of Ireland","Dublin","Irish",53,-8
"Islamic Republic of Iran","Tehran","Iranian",32,53
"Republic of Iraq","Baghdad","Iraqi",33,44
"Iceland","Reykjavik","Icelander",65,-18
"State of Israel","Jerusalem","Israeli",31.47,35.13
"Italian Republic","Rome","Italian",42.83333333,12.83333333
"Jamaica","Kingston","Jamaican",18.25,-77.5
"Bailiwick of Jersey","Saint Helier","Channel Islander",49.25,-2.16666666
"Hashemite Kingdom of Jordan","Amman","Jordanian",31,36
"Japan","Tokyo","Japanese",36,138
"Republic of Kazakhstan","Astana","Kazakhstani",48,68
"Republic of Kenya","Nairobi","Kenyan",1,38
"Kyrgyz Republic","Bishkek","Kirghiz",41,75
"Kingdom of Cambodia","Phnom Penh","Cambodian",13,105
"Independent and Sovereign Republic of Kiribati","South Tarawa","I-Kiribati",1.41666666,173
"Federation of Saint Christopher and Nevisa","Basseterre","Kittitian or Nevisian",17.33333333,-62.75
"Republic of Korea","Seoul","South Korean",37,127.5
"Republic of Kosovo","Pristina","Kosovar",42.666667,21.166667
"State of Kuwait","Kuwait City","Kuwaiti",29.5,45.75
"Lao People's Democratic Republic","Vientiane","Laotian",18,105
"Lebanese Republic","Beirut","Lebanese",33.83333333,35.83333333
"Republic of Liberia","Monrovia","Liberian",6.5,-9.5
"State of Libya","Tripoli","Libyan",25,17
"Saint Lucia","Castries","Saint Lucian",13.88333333,-60.96666666
"Principality of Liechtenstein","Vaduz","Liechtensteiner",47.26666666,9.53333333
"Democratic Socialist Republic of Sri Lanka","Colombo","Sri Lankan",7,81
"Kingdom of Lesotho","Maseru","Mosotho",-29.5,28.5
"Republic of Lithuania","Vilnius","Lithuanian",56,24
"Grand Duchy of Luxembourg","Luxembourg","Luxembourger",49.75,6.16666666
"Republic of Latvia","Riga","Latvian",57,25
"Macao Special Administrative Region of the People's Republic of China","","Chinese",22.16666666,113.55
"Saint Martin","Marigot","Saint Martin Islander",18.08333333,-63.95
"Kingdom of Morocco","Rabat","Moroccan",32,-5
"Principality of Monaco","Monaco","Monegasque",43.73333333,7.4
"Republic of Moldova","Chișinău","Moldovan",47,29
"Republic of Madagascar","Antananarivo","Malagasy",-20,47
"Republic of the Maldives","Malé","Maldivan",3.25,73
"United Mexican States","Mexico City","Mexican",23,-102
"Republic of the Marshall Islands","Majuro","Marshallese",9,168
"Republic of Macedonia","Skopje","Macedonian",41.83333333,22
"Republic of Mali","Bamako","Malian",17,-4
"Republic of Malta","Valletta","Maltese",35.83333333,14.58333333
"Republic of the Union of Myanmar","Naypyidaw","Bamar",22,98
"Montenegro","Podgorica","Montenegrin",42.5,19.3
"Mongolia","Ulan Bator","Mongolian",46,105
"Commonwealth of the Northern Mariana Islands","Saipan","American",15.2,145.75
"Republic of Mozambique","Maputo","Mozambican",-18.25,35
"Islamic Republic of Mauritania","Nouakchott","Mauritanian",20,-12
"Montserrat","Plymouth","Montserratian",16.75,-62.2
"Martinique","Fort-de-France","French",14.666667,-61
"Republic of Mauritius","Port Louis","Mauritian",-20.28333333,57.55
"Republic of Malawi","Lilongwe","Malawian",-13.5,34
"Malaysia","Kuala Lumpur","Malaysian",2.5,112.5
"Department of Mayotte","Mamoudzou","Mahoran",-12.83333333,45.16666666
"Republic of Namibia","Windhoek","Namibian",-22,17
"New Caledonia","Nouméa","New Caledonian",-21.5,165.5
"Republic of Niger","Niamey","Nigerien",16,8
"Territory of Norfolk Island","Kingston","Norfolk Islander",-29.03333333,167.95
"Federal Republic of Nigeria","Abuja","Nigerian",10,8
"Republic of Nicaragua","Managua","Nicaraguan",13,-85
"Niue","Alofi","Niuean",-19.03333333,-169.86666666
"Netherlands","Amsterdam","Dutch",52.5,5.75
"Kingdom of Norway","Oslo","Norwegian",62,10
"Federal Democratic Republic of Nepal","Kathmandu","Nepalese",28,84
"Republic of Nauru","Yaren","Nauruan",-0.53333333,166.91666666
"New Zealand","Wellington","New Zealander",-41,174
"Sultanate of Oman","Muscat","Omani",21,57
"Islamic Republic of Pakistan","Islamabad","Pakistani",30,70
"Republic of Panama","Panama City","Panamanian",9,-80
"Pitcairn Group of Islands","Adamstown","Pitcairn Islander",-25.06666666,-130.1
"Republic of Peru","Lima","Peruvian",-10,-76
"Republic of the Philippines","Manila","Filipino",13,122
"Republic of Palau","Ngerulmud","Palauan",7.5,134.5
"Independent State of Papua New Guinea","Port Moresby","Papua New Guinean",-6,147
"Republic of Poland","Warsaw","Polish",52,20
"Commonwealth of Puerto Rico","San Juan","Puerto Rican",18.25,-66.5
"Democratic People's Republic of Korea","Pyongyang","North Korean",40,127
"Portuguese Republic","Lisbon","Portuguese",39.5,-8
"Republic of Paraguay","Asunción","Paraguayan",-23,-58
"State of Palestine","Ramallah","Palestinian",31.9,35.2
"French Polynesia","Papeetē","French Polynesian",-15,-140
"State of Qatar","Doha","Qatari",25.5,51.25
"Réunion Island","Saint-Denis","French",-21.15,55.5
"Romania","Bucharest","Romanian",46,25
"Russian Federation","Moscow","Russian",60,100
"Republic of Rwanda","Kigali","Rwandan",-2,30
"Kingdom of Saudi Arabia","Riyadh","Saudi Arabian",25,45
"Republic of the Sudan","Khartoum","Sudanese",15,30
"Republic of Senegal","Dakar","Senegalese",14,-14
"Republic of Singapore","Singapore","Singaporean",1.36666666,103.8
"South Georgia and the South Sandwich Islands","King Edward Point","South Georgian South Sandwich Islander",-54.5,-37
"Svalbard og Jan Mayen","Longyearbyen","Norwegian",78,20
"Solomon Islands","Honiara","Solomon Islander",-8,159
"Republic of Sierra Leone","Freetown","Sierra Leonean",8.5,-11.5
"Republic of El Salvador","San Salvador","Salvadoran",13.83333333,-88.91666666
