"name","capital","demonym","lat","lon"
"Aruba","Oranjestad","Aruban",12.5,-69.96666666
"Afghanistan","Kabul","Afghan",33,65
"Angola","Luanda","Angolan",-12.5,18.5
"Anguilla","The Valley","Anguillian",18.25,-63.16666666
"Åland Islands","Mariehamn","Ålandish",60.116667,19.9
"Albania","Tirana","Albanian",41,20
"Andorra","Andorra la Vella","Andorran",42.5,1.5
"United Arab Emirates","Abu Dhabi","Emirati",24,54
"Argentina","Buenos Aires","Argentine",-34,-64
"Armenia","Yerevan","Armenian",40,45
"American Samoa","Pago Pago","American Samoan",-14.33333333,-170
"Antarctica","","Antarctican",-90,0
"French Southern and Antarctic Lands","Port-aux-Français","French",-49.25,69.167
"Antigua and Barbuda","Saint John's","Antiguan, Barbudan",17.05,-61.8
"Australia","Canberra","Australian",-27,133
"Austria","Vienna","Austrian",47.33333333,13.33333333
"Azerbaijan","Baku","Azerbaijani",40.5,47.5
"Burundi","Bujumbura","Burundian",-3.5,30
"Belgium","Brussels","Belgian",50.83333333,4
"Benin","Porto-Novo","Beninese",9.5,2.25
"Burkina Faso","Ouagadougou","Burkinabe",13,-2
"Bangladesh","Dhaka","Bangladeshi",24,90
"Bulgaria","Sofia","Bulgarian",43,25
"Bahrain","Manama","Bahraini",26,50.55
"Bahamas","Nassau","Bahamian",24.25,-76
"Bosnia and Herzegovina","Sarajevo","Bosnian, Herzegovinian",44,18
"Saint Barthélemy","Gustavia","Saint Barthélemy Islander",18.5,-63.41666666
"Belarus","Minsk","Belarusian",53,28
"Belize","Belmopan","Belizean",17.25,-88.75
"Bermuda","Hamilton","Bermudian",32.33333333,-64.75
"Bolivia","Sucre","Bolivian",-17,-65
"Brazil","Brasília","Brazilian",-10,-55
"Barbados","Bridgetown","Barbadian",13.16666666,-59.53333333
"Brunei","Bandar Seri Begawan","Bruneian",4.5,114.66666666
"Bhutan","Thimphu","Bhutanese",27.5,90.5
"Bouvet Island","","",-54.43333333,3.4
"Botswana","Gaborone","Motswana",-22,24
"Central African Republic","Bangui","Central African",7,21
"Canada","Ottawa","Canadian",60,-95
"Cocos (Keeling) Islands","West Island","Cocos Islander",-12.5,96.83333333
"Switzerland","Bern","Swiss",47,8
"Chile","Santiago","Chilean",-30,-71
"China","Beijing","Chinese",35,105
"Ivory Coast","Yamoussoukro","Ivorian",8,-5
"Cameroon","Yaoundé","Cameroonian",6,12
"DR Congo","Kinshasa","Congolese",0,25
"Republic of the Congo","Brazzaville","Congolese",-1,15
"Cook Islands","Avarua","Cook Islander",-21.23333333,-159.76666666
"Colombia","Bogotá","Colombian",4,-72
"Comoros","Moroni","Comoran",-12.16666666,44.25
"Cape Verde","Praia","Cape Verdian",16,-24
"Costa Rica","San José","Costa Rican",10,-84
"Cuba","Havana","Cuban",21.5,-80
"Curaçao","Willemstad","Dutch",12.116667,-68.933333
"Christmas Island","Flying Fish Cove","Christmas Islander",-10.5,105.66666666
"Cayman Islands","George Town","Caymanian",19.5,-80.5
"Cyprus","Nicosia","Cypriot",35,33
"Czechia","Prague","Czech",49.75,15.5
"Germany","Berlin","German",51,9
"Djibouti","Djibouti","Djibouti",11.5,43
"Dominica","Roseau","Dominican",15.41666666,-61.33333333
"Denmark","Copenhagen","Danish",56,10
"Dominican Republic","Santo Domingo","Dominican",19,-70.66666666
"Algeria","Algiers","Algerian",28,3
"Ecuador","Quito","Ecuadorean",-2,-77.5
"Egypt","Cairo","Egyptian",27,30
"Eritrea","Asmara","Eritrean",15,39
"Western Sahara","El Aaiún","Sahrawi",24.5,-13
"Spain","Madrid","Spanish",40,-4
"Estonia","Tallinn","Estonian",59,26
"Ethiopia","Addis Ababa","Ethiopian",8,38
"Finland","Helsinki","Finnish",64,26
"Fiji","Suva","Fijian",-18,175
"Falkland Islands","Stanley","Falkland Islander",-51.75,-59
"France","Paris","French",46,2
"Faroe Islands","Tórshavn","Faroese",62,-7
"Micronesia","Palikir","Micronesian",6.91666666,158.25
"Gabon","Libreville","Gabonese",-1,11.75
"United Kingdom","London","British",54,-2
"Georgia","Tbilisi","Georgian",42,43.5
"Guernsey","St. Peter Port","Channel Islander",49.46666666,-2.58333333
"Ghana","Accra","Ghanaian",8,-2
"Gibraltar","Gibraltar","Gibraltar",36.13333333,-5.35
"Guinea","Conakry","Guinean",11,-10
"Guadeloupe","Basse-Terre","Guadeloupian",16.25,-61.583333
"Gambia","Banjul","Gambian",13.46666666,-16.56666666
"Guinea-Bissau","Bissau","Guinea-Bissauan",12,-15
"Equatorial Guinea","Malabo","Equatorial Guinean",2,10
"Greece","Athens","Greek",39,22
"Grenada","St. George's","Grenadian",12.11666666,-61.66666666
"Greenland","Nuuk","Greenlandic",72,-40
